,L,R
0,0.0020000000000000018,-91.25422114470136
1,0.136,-6.180001210074639
2,0.0030000000000000027,-78.11606527937045
3,0.0030000000000000027,-79.09168817747872
4,0.0030000000000000027,-80.26145960444785
5,0.0030000000000000027,-83.35959994448602
6,0.0030000000000000027,-81.90062999286751
7,0.0030000000000000027,-82.07661507131495
8,0.0020000000000000018,-83.50016157786683
9,0.0030000000000000027,-86.72085603398271
10,0.0030000000000000027,-85.96761237651526
11,0.0040000000000000036,-88.87063003948396
