,DS,DS_lb,MV,proposed1(wcv),proposed1(wcv)_lb
0,0.93,-17.026022423116878,,0.95,-76.72016298247672
0,0.96,-7.782246211012076,,0.96,-79.94396767947413
0,0.92,-10.127078176020541,,0.97,-74.4766843606205
0,0.97,-12.18171287654754,,0.99,-73.83022791381127
0,0.91,-6.780137741119585,,0.94,-108.22975819321914
0,0.98,-18.398275845813046,,0.96,-83.12801730262497
0,0.96,-14.881763755498003,,0.99,-92.7222760227723
0,0.95,-10.78566324440067,,0.99,-83.60443130257501
0,0.94,-6.481589082587989,,0.97,-79.47329026351069
0,0.94,-24.276419590253425,,0.96,-92.7942835410228
0,0.96,-7.350343867832279,,0.81,-6.69909873027334
0,0.94,-6.27646472933136,,0.82,-17.050468327924452
0,0.89,-12.68584060203233,,0.94,-85.95135238066007
0,0.8,-6.477040309503023,,0.68,0.5090339834768984
0,0.93,-2.7192894787348374,,0.68,-34.04074373308942
0,0.99,-15.642200094850692,,0.71,-9.303879018305397
0,0.89,-7.164664003446701,,0.91,-66.119080256391
0,0.96,-24.89549351344442,,0.71,-2.582416662694291
0,0.88,-2.492371464686289,,0.75,-5.859692351225844
0,0.67,-0.14017877866347495,,0.6,-3.391227792378313
0,0.94,-7.814402929313159,,0.66,0.5856079747623371
0,0.91,0.008154024506988433,,0.68,-3.075998986714338
0,0.75,-2.5921709158440462,,0.61,-0.5895879375360522
0,0.05,-16.835128336780205,,0.43,-2.21082799139867
0,0.94,-16.7008278646064,,0.57,-1.5403716511712806
0,0.31,0.854360868040815,,0.48,0.34938552042804705
0,0.1,-10.719323562428105,,0.49,0.7579576940217193
0,0.03,-22.96187284997766,,0.5,0.3228886334931481
0,0.35,-1.6821408563968314,,0.43,0.9062256315863227
0,0.12,-1.7369378992980231,,0.33,-1.3204626570702398
0,0.01,-13.190462415403422,,0.35,-9.904615081585481
0,0.07,-22.83461656958245,,0.33,0.358002485445872
0,0.11,-12.492696538659226,,0.26,-7.8326561771300245
0,0.05,-8.094933260763133,,0.31,-2.1181941293650004
0,0.09,-6.024651548341503,,0.24,-1.5604564642851793
0,0.07,-7.629046163402387,,0.3,-8.194689888322888
0,0.06,-15.060598151361424,,0.04,-116.5674785321269
0,0.04,-2.600666618400324,,0.2,-4.504714431019783
0,0.5,0.8474328149835898,,0.26,-10.494799286143616
0,0.26,-1.269456120849038,,0.03,-96.11918565572175
0,0.04,-28.491235423569428,,0.03,-544.58666569658
0,0.07,-4.559298232886308,,0.03,-68.94356958059029
0,0.5,0.9899999999999994,,0.11,-19.552600184885385
0,0.03,-17.678610512691105,,0.04,-146.3158313588719
0,0.08,-6.030363723726543,,0.05,-99.95220257062026
0,0.08,-7.75493834361372,,0.01,-68.17244656873847
0,0.5,0.5832621876291171,,0.04,-75.61149219396678
0,0.04,-7.512471976400008,,0.01,-76.39033957543046
0,0.07,-14.28152701444748,,0.03,-80.15244180800926
0,0.19,-11.716922358479174,,0.08,-71.03904758498524
0,0.09,-12.897269342551027,,0.04,-124.07485497642897
